O_id,D_id,action,R_5_00,R_5_10,R_5_20,R_5_30,R_5_40,R_5_50,R_6_00,R_6_10,R_6_20,R_6_30,R_6_40,R_6_50,R_7_00,R_7_10,R_7_20,R_7_30,R_7_40,R_7_50,R_8_00,R_8_10,R_8_20,R_8_30,R_8_40,R_8_50,R_9_00,R_9_10,R_9_20,R_9_30,R_9_40,R_9_50,R_10_00,R_10_10,R_10_20,R_10_30,R_10_40,R_10_50,R_11_00,R_11_10,R_11_20,R_11_30,R_11_40,R_11_50,R_12_00,R_12_10,R_12_20,R_12_30,R_12_40,R_12_50,R_13_00,R_13_10,R_13_20,R_13_30,R_13_40,R_13_50,R_14_00,R_14_10,R_14_20,R_14_30,R_14_40,R_14_50,R_15_00,R_15_10,R_15_20,R_15_30,R_15_40,R_15_50,R_16_00,R_16_10,R_16_20,R_16_30,R_16_40,R_16_50,R_17_00,R_17_10,R_17_20,R_17_30,R_17_40,R_17_50,R_18_00,R_18_10,R_18_20,R_18_30,R_18_40,R_18_50,R_19_00,dis,cnt,weight,cu
1,2,WEST,19.27166655,28.47940302,37.30640117,45.44020191,52.82180674,59.49532743,65.53846805,71.03323189,99.69793015,115.4990412,154.4806605,88.87959558,92.56061691,96.00183465,99.22863984,102.2619424,105.1189789,107.8139715,110.358665,177.4839306,250.3949787,294.4183878,304.4274534,314.039523,323.2392715,332.0118223,340.3428153,348.2184685,355.6256334,362.5518449,368.9853667,374.9152313,380.3312775,385.2241824,389.5854909,393.4076414,396.6839885,399.4088219,401.5773837,403.1858814,404.2314982,404.7124016,404.6277482,403.9776856,402.7633526,400.9868757,398.6513633,188.2404976,238.5520534,134.9250065,134.1241655,133.2243994,132.2253329,131.1264651,129.9271397,128.6265097,127.2234949,125.7167323,124.1045182,122.3847376,120.5547828,118.6114541,116.550843,114.36819,112.0577147,109.6124088,107.0237847,104.2815679,101.3733205,98.28397702,94.99527424,91.48504963,87.7263842,83.68656921,79.32589364,74.59630098,69.4400857,63.78908766,57.56549659,50.6868585,43.08118521,34.72525157,25.73323612,16.54100772,8.198494111,132.1245503,0,0,0
3,1,WEST,23.76669326,39.30960794,60.1795707,82.02125507,110.0101857,121.8785514,140.8074378,161.8018645,182.8647911,216.8210769,229.3557699,245.7193419,266.3602337,286.7605368,306.8744126,326.6584059,346.0709987,365.0723269,383.6240029,401.6890085,419.2316371,436.2174669,452.613358,468.3874642,483.5092551,497.9495451,511.6805265,524.6758059,536.910441,548.3609778,559.0054871,568.8236004,577.7965432,585.9071672,593.13998,599.4811717,604.9186399,609.4420106,613.0426571,615.7137146,617.4500919,618.2484801,618.1073574,617.0269915,615.0094392,612.0585434,608.1799268,603.3809828,597.6708626,591.0604595,583.5623892,516.4721182,421.3834599,414.3048446,406.6457641,398.4198288,389.6416048,380.3265732,370.4910866,360.1523204,349.3282211,327.2329994,263.9640856,214.2506463,206.8090766,199.1070077,191.1508131,182.9461162,160.3187195,98.28218343,94.99337828,91.48303966,87.72424611,83.68428589,79.32344444,74.59366115,69.43722596,63.78597434,57.56209307,50.68312993,43.07711069,34.7208527,25.72863912,16.5365606,8.194899604,112.99607,4,0.035399461,0.38125
2,4,WEST,19.26656811,28.47431737,37.3016218,45.43581902,52.81782045,59.49170385,65.53516404,71.03020527,76.05199629,80.66553803,84.92552089,88.87735524,92.55851638,95.9998587,99.22677597,102.2601803,105.11731,107.812389,110.357163,112.7613353,115.0329212,117.1785371,119.2036378,121.1127117,122.9094413,124.5968377,126.1773515,127.6529663,129.0252771,130.2955564,131.4648096,132.5338226,133.5032012,134.3734058,135.1447792,135.8175713,136.3919589,136.8680629,137.2459625,137.5257064,197.7027682,137.7908245,137.7762182,137.6635024,137.4526694,137.1437012,136.7365645,136.2312023,135.6275244,134.9253942,134.124615,133.2249111,132.2259073,131.1271028,129.9278415,128.6272764,127.2243274,125.717632,124.1054864,122.3857761,120.5558936,118.6126399,181.6442477,151.2898709,230.5090224,221.4931461,212.1954275,163.8390352,101.3751587,98.28594034,94.99737607,91.48730623,87.72881534,83.68919894,79.32875117,74.59942167,69.44351191,63.79286909,57.56968896,50.69151812,43.08635378,34.73091861,25.7392544,16.5469281,8.203363397,159.4302639,0,0,0
2,5,NORTH,19.58407723,31.6161101,46.83034544,64.26962794,64.26283922,59.49437015,81.94251105,132.0603465,160.7673432,162.4055846,160.3431275,154.2217758,164.9694189,175.4769482,185.7400753,195.7528911,205.5081508,214.9975406,293.1842056,353.5204621,457.8979305,529.4620144,591.7469462,699.8783406,723.8845081,746.8277795,768.6601727,789.3363742,808.8137477,827.0523529,844.0149685,859.6671204,873.9771114,886.9160517,898.4578893,908.5794386,917.2604081,924.4834247,930.2340548,934.5008217,937.275219,938.5517193,858.2652848,936.6038449,933.3833443,928.6726921,883.3091452,720.1745514,713.188947,705.1025888,658.7162807,501.5368286,493.6803738,485.1075028,475.8341506,432.4210123,291.2401275,395.7244077,432.0989641,419.6060315,406.5339555,392.9068616,378.7498706,364.0890514,348.951377,333.3646833,317.3576353,300.9597042,211.6272068,182.699173,172.3621251,161.7821077,150.9628672,139.9061697,128.6116111,117.0766527,105.2971767,90.10264818,74.57802407,61.52111372,43.08441725,34.72886993,25.73715971,16.54494883,8.201803507,131.7329461,0,0,0
6,5,WEST,19.2746462,28.48217724,37.30883031,64.13573001,105.3343612,150.8096707,177.5371838,193.0997082,220.6155153,286.0603352,318.1721559,350.2584581,382.2057992,413.912085,304.6164669,476.2351436,506.6848611,536.5572182,565.7804051,594.2862558,622.0099156,648.8896034,674.866449,699.8843825,723.8900643,746.8328435,768.6647392,789.3404391,740.9213366,199.2275284,131.4652266,132.5341635,133.5034677,134.3735994,135.1449012,135.817623,136.3919416,136.8679779,137.245811,137.5254895,137.7070413,137.7904804,137.7758123,137.6630358,614.5690927,928.668226,922.476428,914.8162412,905.7029762,895.1548767,883.1930983,869.8416822,855.1275281,839.0803647,821.7327188,803.1198855,783.279898,762.2535018,740.084132,716.8178977,692.5035751,667.1926145,640.9391661,367.2488464,112.0576001,109.6123317,107.0237486,104.281577,101.3733795,98.28409162,94.99545118,91.48529709,87.72671219,83.68699004,79.32642259,74.59695706,69.44089255,63.79007449,57.56669872,50.68831649,43.08294002,34.72732951,25.73560984,16.54351067,8.200692988,78.16544488,2,0.025586754,0
1,6,NORTHWEST,19.27564501,28.48323004,37.30987055,45.44327176,52.82450116,59.49769116,65.54054786,71.03507001,76.05641548,80.66957359,84.92922414,98.01721177,150.9633205,201.9748551,214.5833757,226.9226429,238.9772505,250.7313714,262.1688982,273.2735763,284.0291301,294.4193759,304.4283262,314.0402826,323.23992,332.0123617,340.3432475,348.2187955,355.6258573,362.5519679,368.9853907,374.9151588,429.9493686,636.0733641,644.0245229,650.9959535,839.2929196,924.4861166,930.235991,934.5019996,937.2756372,938.5513783,938.3266814,936.6019922,933.3807423,928.669347,922.4771984,914.8166553,905.7030287,895.1545632,883.192415,869.8406261,855.1260971,839.0785573,821.7305345,803.1173243,783.2769609,762.2501907,740.0804496,716.8138474,692.4991613,667.1878426,640.9340422,613.7946582,585.829418,527.2671577,401.7947309,366.5071167,345.1315906,323.3771147,301.2924565,278.9290973,256.3418913,233.5900619,210.7387161,187.861178,160.5657545,126.5007284,88.79281745,74.40398514,60.00617687,45.76782731,32.0227308,17.69680522,8.198297439,117.3038027,3,0.025574618,0.23671875
7,6,SOUTHWEST,19.27817548,31.57936238,56.36651336,73.76598345,91.68600424,109.8986821,128.259441,146.6701681,165.0591576,183.3700637,201.5557053,219.5745262,237.3885395,254.9621225,272.2613065,289.2533624,264.6549016,107.8149128,110.3595027,112.7635031,115.0349274,117.1803903,119.2053454,121.1142797,122.9108753,124.5981421,126.1785304,127.6540233,129.0262152,130.2963784,131.4655178,132.5344192,133.5036885,134.3737855,363.9906093,522.1994164,526.8265936,806.6640091,930.2329202,934.498722,937.2721665,938.5477282,938.3228662,936.5980264,853.8961731,532.9043649,529.6046639,525.5216602,520.662964,515.0376297,508.6561367,501.5303682,493.6735867,485.1004065,475.8267632,465.869881,455.2482367,443.981522,432.0906026,419.5974762,406.5252269,392.8979807,378.7408582,190.3556963,112.0568201,109.6115151,107.0228932,104.28068,101.3724376,98.28310059,94.99440605,91.48419176,87.72553927,83.68574058,79.32508579,74.59552002,69.43934006,63.78838914,57.56486173,50.68631031,43.08075484,34.72497847,25.73316183,16.5411515,8.198793689,60.47143933,2,0.033073464,0
8,7,WEST,29.00710971,51.25339869,75.42905242,102.0955212,130.5550315,149.3862645,77.2046231,71.03745445,76.05854257,80.67148029,84.9309408,88.88231984,92.56308064,96.00406774,99.23066689,102.2637837,105.1206513,107.8154891,110.3600396,112.7640032,115.0353926,117.1808226,119.2057462,121.1146505,122.911217,124.5984558,126.1788168,127.6542831,129.026449,130.2965867,131.4657012,132.534578,133.503823,134.3738962,135.1451403,135.817805,136.3920671,136.8680475,137.2458253,137.525449,137.7069466,137.790332,137.7756107,137.6627816,137.4518369,137.1427588,136.7355138,446.7160043,905.6953014,895.1464984,883.184038,869.8319628,855.117174,839.0694016,821.7211737,803.1077865,783.2672745,382.3270666,124.1032378,122.3834312,120.5534513,118.6100986,116.5494641,114.3667885,112.0562909,109.6109628,107.0223164,104.280077,101.3718063,98.28243849,94.99371,91.48345798,87.72476318,83.68491663,79.32420731,74.59457908,69.43832735,63.7872941,57.56367311,50.68501788,43.07935362,34.72347832,25.73160801,16.53966253,8.197602212,66.49745835,0,0,0
3,8,NORTH,19.28111813,28.48863115,37.3148942,45.4478329,52.82860963,59.50139082,65.54389038,71.03810448,76.05918496,80.6721145,84.93156679,88.88293782,92.56369092,96.00467062,99.23126263,102.2643726,105.1212333,107.8160644,110.360608,112.7645645,115.0359468,117.1813692,119.206285,121.1151809,122.9117386,124.598968,126.1793191,127.6547748,129.0269295,130.2970553,131.4661572,132.5350207,133.5042516,134.3743099,364.7514114,522.2026776,526.8295021,530.6782047,454.5338226,615.6747039,937.2758226,938.550729,938.3252005,936.5996842,933.3776138,849.7224834,176.1640056,136.2301659,135.6263557,134.9240939,134.1231837,133.2233493,132.2242152,131.1252806,129.9258891,128.6251934,127.2221132,125.7152853,124.1030058,270.9295696,406.5190446,392.8914186,378.7339259,364.0726365,348.9345243,333.347426,317.3400074,300.9417406,284.1829002,267.0945909,249.7088227,232.0586662,214.1785326,196.1046634,177.8759619,159.5354093,141.1324807,122.7273283,104.398141,86.25434275,68.46067029,51.28144347,35.16037165,19.55776285,8.966733674,133.8388976,1,0.007471669,0
5,10,NORTHWEST,19.27187373,28.47938606,37.30618408,45.43982605,52.82131038,59.49474085,65.53781379,71.03252637,103.3602169,132.3572928,201.5437041,219.5626132,237.3767375,254.9504538,341.4605972,346.2393933,506.6738083,536.5462733,565.7695963,594.2756106,621.9994605,648.8793642,674.8564507,699.8746492,723.8806195,746.8237097,768.6559384,789.3319923,808.8092353,827.0477277,844.0102481,859.6623228,873.9722545,886.9111539,898.4529687,908.5745135,917.2554969,924.4785455,930.229226,894.5776195,537.488385,418.0340938,137.7757326,137.662993,137.4521375,137.1431485,136.7359925,136.2306126,135.6269182,134.9247732,134.1239805,133.2242647,132.2252504,131.1264368,129.9271678,128.6265965,127.2236426,125.7169438,124.1047961,122.3850852,120.5552034,118.6119518,116.5514219,114.3688553,112.0584722,109.6132651,107.0247477,104.282647,101.3745266,98.28532355,94.99677709,91.48672812,87.72826189,83.68867493,79.32826276,74.5989769,69.44312141,63.79254697,57.56945395,50.69139465,43.08637231,34.73111286,25.73964946,16.5475065,8.20399788,100.8781585,2,0.019825897,0
